name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
Njazi Azemi,,,memorial,,,,,POINT (21.3567371 42.3190346)
Сергеј Есенин,,,monument,,,,,POINT (20.6783749 41.1736526)
Varri i Metalise,,attraction,memorial,,,,,POINT (20.5407174 41.8261539)
Varri i Sejmenit,,attraction,memorial,,,,,POINT (20.4853306 41.780663)
Емин-бегова кула,,attraction,monument,,Emin Bey Tower,,,POINT (22.1823517 42.0769461)
Крстева кула,,,monument,,Krste's Tower,Крстева кула,,POINT (22.1826261 42.0768838)
Споменик „Солунски фронт“ од I светска војна,,,monument,,World War I Salonica Front memorial,,,POINT (22.6878453 41.1949939)
Хаџикостова кула,,,monument,,Hadji Kostov Tower,,,POINT (22.1822635 42.0768628)
Саат-кула,,,monument,,Clock Tower,,,POINT (22.1818109 42.0792053)
Златковичева кула,,,monument,,Zlatkovich Tower,,,POINT (22.1809805 42.0788289)
Симиќева кула,,,monument,,Simikj Tower,,,POINT (22.1794714 42.0786957)
Richard Holbrook,,,memorial,,,,,POINT (21.3570946 42.3179656)
Micheline Calmy-Rey,,,memorial,,,,,POINT (21.356599 42.3161328)
Струмица-Кристал-64,,,monument,,,,,POINT (22.6796979 41.4409796)
Григор Прличев,,,tomb,,Grigor Prlicev grave,,,POINT (20.7958058 41.1142035)
Varrezat e fshatit,,,memorial,,,,,POINT (20.6993216 42.3532275)
Πολυβολείο Π9,,,yes,,,,,POINT (23.0211808 41.3072588)
Тумба / Τούμπα,,,boundary_stone,,Tumba,Тумба,,POINT (22.9275511 41.3384543)
Monument Kulture,,,monument,,,,,POINT (20.9724068 40.8878546)
Rrënoja,,,ruins,,,,,POINT (20.9355426 40.8633064)
,place_of_worship,,,,,,christian,POINT (21.0440502 42.2544104)
Партизански паметник,,,memorial,,,,,POINT (22.975027 41.9975082)
,,,wayside_cross,,,,,POINT (22.8213367 41.9765397)
Црква Успења Пресвете Богородице,place_of_worship,,,,,,christian,POINT (20.8935679 42.2903775)
,,,memorial,,,,,POINT (21.4188415 42.0229063)
,,,memorial,,,,,POINT (20.7934484 41.1142097)
Св. Троица,place_of_worship,attraction,yes,,St. Trinity,,christian,POINT (21.3415263 41.006774)
Μνημείο,,,memorial,,,,,POINT (22.8512298 41.1787643)
Μνημείο,,,memorial,,,,,POINT (22.8316401 41.1206826)
,,,monument,,,,,POINT (23.0002807 42.1531918)
Теракота,,,memorial,,,,,POINT (22.5039935 41.8845661)
Никола Кукунешоски - Дунѓерски,,,memorial,,Nikola Kukuneshoski - Dungjerski,,,POINT (20.6778868 41.1745272)
Крсте Јовановски,,,memorial,,,,,POINT (20.6779485 41.1747311)
Димче Кошаркоски,,,memorial,,,,,POINT (20.6779833 41.1749451)
Боро Шаин,,,memorial,,,,,POINT (20.6782194 41.1756537)
Јово Стефановски - Риле,,,memorial,,,,,POINT (20.6781791 41.1755185)
Разме Малески,,,memorial,,,,,POINT (20.6781416 41.1753893)
Петре Гончески - Гиле,,,memorial,,,,,POINT (20.6781067 41.1752843)
Св. Благовештение,church,,wayside_shrine,,,,,POINT (20.8033957 41.05924)
,,,monument,,,,,POINT (20.6945328 40.8609742)
,,,memorial,,,,,POINT (20.8036513 41.0000561)
Kërëk xhamia-Namazxhah,,,yes,,,,,POINT (20.7309446 42.2141128)
Xhamia e Arastës,,,building,,Arasta Mosque,,,POINT (20.741863 42.2103879)
Eтнолошки музеј,,museum,,,Ethnographic museum,,,POINT (21.0506131 41.0240503)
Гоце Делчев,,artwork,memorial,,Goce Delchev,Гоце Делчев,,POINT (21.4323793 41.9963577)
Konjuh,,,archaeological_site,ancient_roman,,,,POINT (21.9665342 42.1003011)
Rotonda Konjuh,,,ruins,ancient_roman,,,,POINT (21.9658672 42.0949995)
Bosko Chapel,,,wayside_shrine,,,,,POINT (21.9606298 42.0995746)
,,,archaeological_site,medieval,,,,POINT (22.1863555 41.7376603)
Bargala,,,archaeological_site,ancient_roman,,,,POINT (22.289829 41.7995125)
Roman Bathhouse,,attraction,archaeological_site,,,,,POINT (22.7542141 41.3825161)
,,,ruins,ottoman,,,,POINT (22.7536848 41.3826711)
,,,archaeological_site,,,,,POINT (22.8625358 41.7779241)
